recommendation,city,date,station,station_forecast_max_c,label,best_side,best_edge_topask,proxy_p_yes,yes_best_ask,yes_20_avg,proxy_p_no,no_best_ask,no_20_avg,unique_accounts,signal_count,question
paper_micro_yes_strict_limit,Singapore,April 26,WSSS,31.67,31C,YES,0.15,0.25,0.1,0.1064,0.75,0.92,0.9258,17,63,Will the highest temperature in Singapore be 31°C on April 26?
paper_micro_yes_strict_limit,Munich,April 26,EDDM,19.44,20C,YES,0.1434,0.2584,0.115,0.1384,0.7416,0.919,0.919,20,71,Will the highest temperature in Munich be 20°C on April 26?
paper_micro_no_strict_limit,Shanghai,April 26,ZSPD,22.22,23C,NO,0.1295,0.2405,0.38,0.3824,0.7595,0.63,0.63,20,93,Will the highest temperature in Shanghai be 23°C on April 26?
paper_micro_yes_strict_limit,Singapore,April 26,WSSS,31.67,30C,YES,0.1281,0.1411,0.013,0.0233,0.8589,0.988,0.988,17,63,Will the highest temperature in Singapore be 30°C on April 26?
paper_micro_yes_strict_limit,Shanghai,April 26,ZSPD,22.22,21C,YES,0.1279,0.1939,0.066,0.0743,0.8061,0.935,0.935,20,93,Will the highest temperature in Shanghai be 21°C on April 26?
paper_micro_no_strict_limit,Taipei,April 26,RCSS,27.78,29C,NO,0.1261,0.1939,0.33,0.3378,0.8061,0.68,0.68,16,81,Will the highest temperature in Taipei be 29°C on April 26?
watch_or_paper_no_if_station_confirms,Munich,April 26,EDDM,19.44,19C,NO,0.1039,0.2661,0.42,0.42,0.7339,0.63,0.63,20,71,Will the highest temperature in Munich be 19°C on April 26?
watch_or_paper_yes_if_station_confirms,Tokyo,April 26,RJTT,20.0,18C,YES,0.0819,0.1049,0.023,0.0245,0.8951,0.985,0.985,21,88,Will the highest temperature in Tokyo be 18°C on April 26?
watch_or_paper_yes_if_station_confirms,Taipei,April 26,RCSS,27.78,26C,YES,0.0786,0.1286,0.05,0.053,0.8714,0.951,0.951,16,81,Will the highest temperature in Taipei be 26°C on April 26?
watch_or_paper_no_if_station_confirms,Taipei,April 26,RCSS,27.78,28C,NO,0.0743,0.2757,0.36,0.3643,0.7243,0.65,0.65,16,81,Will the highest temperature in Taipei be 28°C on April 26?
watch_or_paper_no_if_station_confirms,Singapore,April 26,WSSS,31.67,32C,NO,0.0683,0.2717,0.37,0.3744,0.7283,0.66,0.66,17,63,Will the highest temperature in Singapore be 32°C on April 26?
watch_or_paper_no_if_station_confirms,Singapore,April 26,WSSS,31.67,34C,NO,0.066,0.074,0.17,0.1883,0.926,0.86,0.86,17,63,Will the highest temperature in Singapore be 34°C on April 26?
watch_or_paper_yes_if_station_confirms,Shanghai,April 26,ZSPD,22.22,20C,YES,0.0646,0.0836,0.019,0.0234,0.9164,0.991,0.991,20,93,Will the highest temperature in Shanghai be 20°C on April 26?
watch_or_paper_no_if_station_confirms,Shanghai,April 26,ZSPD,22.22,22C,NO,0.0643,0.2757,0.35,0.35,0.7243,0.66,0.66,20,93,Will the highest temperature in Shanghai be 22°C on April 26?
watch_or_paper_yes_if_station_confirms,Tokyo,April 26,RJTT,20.0,22C,YES,0.0599,0.1049,0.045,0.061,0.8951,0.964,0.9663,21,88,Will the highest temperature in Tokyo be 22°C on April 26?
watch_or_paper_no_if_station_confirms,Wellington,April 26,NZWN,17.22,16C,NO,0.0561,0.1939,0.33,0.3345,0.8061,0.75,0.75,17,69,Will the highest temperature in Wellington be 16°C on April 26?
watch_or_paper_yes_if_station_confirms,Wellington,April 26,NZWN,17.22,15C,YES,0.0536,0.0836,0.03,0.0426,0.9164,0.977,0.977,17,69,Will the highest temperature in Wellington be 15°C on April 26?
watch_or_paper_yes_if_station_confirms,Taipei,April 26,RCSS,27.78,27C,YES,0.0505,0.2405,0.19,0.1971,0.7595,0.82,0.8218,16,81,Will the highest temperature in Taipei be 27°C on April 26?
avoid_or_watch,Wellington,April 26,NZWN,17.22,20C,YES,0.0361,0.0421,0.006,0.0087,0.9579,0.998,0.998,17,69,Will the highest temperature in Wellington be 20°C on April 26?
avoid_or_watch,London,April 26,EGLC,18.89,19C,NO,0.0318,0.2782,0.32,0.3255,0.7218,0.69,0.69,20,75,Will the highest temperature in London be 19°C on April 26?
avoid_or_watch,Seoul,April 26,RKSI,17.22,19C,NO,0.0314,0.1286,0.2,0.2,0.8714,0.84,0.84,17,85,Will the highest temperature in Seoul be 19°C on April 26?
avoid_or_watch,Munich,April 26,EDDM,19.44,17C,YES,0.0251,0.0651,0.04,0.1387,0.9349,0.969,0.969,20,71,Will the highest temperature in Munich be 17°C on April 26?
avoid_or_watch,Seoul,April 26,RKSI,17.22,14C,YES,0.0211,0.0221,0.001,0.0027,0.9779,,,17,85,Will the highest temperature in Seoul be 14°C on April 26?
avoid_or_watch,Taipei,April 26,RCSS,27.78,31C,NO,0.0179,0.0221,0.049,0.0508,0.9779,0.96,0.96,16,81,Will the highest temperature in Taipei be 31°C on April 26?
avoid_or_watch,Wellington,April 26,NZWN,17.22,14C,YES,0.0131,0.0221,0.009,0.013,0.9779,0.993,0.993,17,69,Will the highest temperature in Wellington be 14°C on April 26?
avoid_or_watch,Tokyo,April 26,RJTT,20.0,21C,NO,0.0115,0.2185,0.25,0.25,0.7815,0.77,0.7769,21,88,Will the highest temperature in Tokyo be 21°C on April 26?
avoid_or_watch,Wellington,April 26,NZWN,17.22,18C,NO,0.0095,0.2405,0.3,0.3,0.7595,0.75,0.75,17,69,Will the highest temperature in Wellington be 18°C on April 26?
avoid_or_watch,London,April 26,EGLC,18.89,17C,YES,0.0065,0.1165,0.11,0.1397,0.8835,0.9,0.9,20,75,Will the highest temperature in London be 17°C on April 26?
avoid_or_watch,Taipei,April 26,RCSS,27.78,30C,YES,0.0036,0.0836,0.08,0.08,0.9164,0.93,0.93,16,81,Will the highest temperature in Taipei be 30°C on April 26?
avoid_or_watch,Singapore,April 26,WSSS,31.67,35C,NO,0.0035,0.0185,0.023,0.0528,0.9815,0.978,0.9788,17,63,Will the highest temperature in Singapore be 35°C on April 26?
avoid_or_watch,Shanghai,April 26,ZSPD,22.22,26C,NO,0.0025,0.0085,0.012,0.0196,0.9915,0.989,0.9898,20,93,Will the highest temperature in Shanghai be 26°C on April 26?
avoid_or_watch,Munich,April 26,EDDM,19.44,15C,NO,0.0018,0.0022,0.006,0.0086,0.9978,0.996,0.9961,20,71,Will the highest temperature in Munich be 15°C on April 26?
avoid_or_watch,Tokyo,April 26,RJTT,20.0,19C,NO,0.0015,0.2185,0.26,0.2673,0.7815,0.78,0.78,21,88,Will the highest temperature in Tokyo be 19°C on April 26?
avoid_or_watch,Shanghai,April 26,ZSPD,22.22,24C,NO,0.0014,0.1286,0.17,0.17,0.8714,0.87,0.87,20,93,Will the highest temperature in Shanghai be 24°C on April 26?
avoid_or_watch,Tokyo,April 26,RJTT,20.0,15C,YES,-0.0004,0.0006,0.001,0.0027,0.9994,,,21,88,Will the highest temperature in Tokyo be 15°C on April 26?
avoid_or_watch,London,April 26,EGLC,18.89,14C,YES,-0.0012,0.0008,0.002,0.0025,0.9992,,,20,75,Will the highest temperature in London be 14°C on April 26?
avoid_or_watch,London,April 26,EGLC,18.89,16C,YES,-0.0018,0.0362,0.038,0.0399,0.9638,0.97,0.9726,20,75,Will the highest temperature in London be 16°C on April 26?
