rank,userName,proxyWallet,weather_pnl_usd,weather_volume_usd,pnl_volume_pct,classification,active_weather_positions,active_nonweather_positions,recent_weather_activity,recent_nonweather_activity,weather_signal_count,xUsername,profile_url,sample_weather_titles,sample_nonweather_titles,confidence
14,aenews-915,0xf1bb700a67e3e8a45dc8160a92f4e0405f41bf09,55093.07,0,,weather-heavy mixed,0,0,6,0,6,,https://polymarket.com/profile/0xf1bb700a67e3e8a45dc8160a92f4e0405f41bf09,Energy infrastructure ceasefire in Ukraine in March?  energy-infrastructure-ceasefire-in-ukraine-in-march energy-infrastructure-ceasefire-in-ukraine-in-march  | Energy infrastructure ceasefire in Ukraine in March?  energy-infrastructure-ceasefire-in-ukraine-in-march energy-infrastructure-ceasefire-in-ukraine-in-march  | Will global temperature increase by between 1.20-1.24ºC in January 2025? will-global-temperature-increase-by-between-1pt20-1pt24c-in-january-2025 january-2025-temperature-increase- | Will global temperature increase by less than 1.20ºC in January 2025? will-global-temperature-increase-by-less-than-1pt20c-in-january-2025 january-2025-temperature-increase-c  | Will global temperature increase by between 1.20-1.24ºC in January 2025? will-global-temperature-increase-by-between-1pt20-1pt24c-in-january-2025 january-2025-temperature-increase- | Will global temperature increase by less than 1.20ºC in January 2025? will-global-temperature-increase-by-less-than-1pt20c-in-january-2025 january-2025-temperature-increase-c ,,live_top80_sample
18,Poligarch,0xb40e89677d59665d5188541ad860450a6e2a7cc9,50120.07,0,,weather specialist / weather-heavy,62,0,178,0,240,,https://polymarket.com/profile/0xb40e89677d59665d5188541ad860450a6e2a7cc9,Will the highest temperature in Chengdu be 31°C on April 25? highest-temperature-in-chengdu-on-april-25-2026-31c highest-temperature-in-chengdu-on-april-25-2026  | Will the highest temperature in Chengdu be 31°C on April 25? highest-temperature-in-chengdu-on-april-25-2026-31c highest-temperature-in-chengdu-on-april-25-2026  | Will the highest temperature in Chengdu be 30°C on April 25? highest-temperature-in-chengdu-on-april-25-2026-30c highest-temperature-in-chengdu-on-april-25-2026  | Will the highest temperature in Chengdu be 32°C on April 25? highest-temperature-in-chengdu-on-april-25-2026-32c highest-temperature-in-chengdu-on-april-25-2026  | Will the highest temperature in Chengdu be 32°C on April 25? highest-temperature-in-chengdu-on-april-25-2026-32c highest-temperature-in-chengdu-on-april-25-2026  | Will the highest temperature in Chengdu be 30°C on April 25? highest-temperature-in-chengdu-on-april-25-2026-30c highest-temperature-in-chengdu-on-april-25-2026  | Will the highest temperature in Hong Kong be 26°C on April 25? highest-temperature-in-hong-kong-on-april-25-2026-26c highest-temperature-in-hong-kong-on-april-25-2026  | Will the highest temperature in Seoul be 20°C on April 25? highest-temperature-in-seoul-on-april-25-2026-20c highest-temperature-in-seoul-on-april-25-2026 ,,live_top80_sample
19,Maskache2,0x1f66796b45581868376365aef54b51eb84184c8d,49973.43,0,,weather specialist / weather-heavy,96,0,198,0,294,,https://polymarket.com/profile/0x1f66796b45581868376365aef54b51eb84184c8d,Will the highest temperature in Hong Kong be 29°C or higher on April 5? highest-temperature-in-hong-kong-on-april-5-2026-29corhigher highest-temperature-in-hong-kong-on-april-5-202 | Will the highest temperature in Moscow be 11°C on March 30? highest-temperature-in-moscow-on-march-30-2026-11c highest-temperature-in-moscow-on-march-30-2026  | Will the highest temperature in Atlanta be between 62-63°F on April 6? highest-temperature-in-atlanta-on-april-6-2026-62-63f highest-temperature-in-atlanta-on-april-6-2026  | Will the highest temperature in Tokyo be 19°C on April 11? highest-temperature-in-tokyo-on-april-11-2026-19c highest-temperature-in-tokyo-on-april-11-2026  | Will the highest temperature in Seoul be 20°C on April 15? highest-temperature-in-seoul-on-april-15-2026-20c highest-temperature-in-seoul-on-april-15-2026  | Will the highest temperature in Hong Kong be 28°C on April 5? highest-temperature-in-hong-kong-on-april-5-2026-28c highest-temperature-in-hong-kong-on-april-5-2026  | Will the highest temperature in Seoul be 10°C on April 5? highest-temperature-in-seoul-on-april-5-2026-10c highest-temperature-in-seoul-on-april-5-2026  | Will the highest temperature in Seoul be 16°C or higher on March 26? highest-temperature-in-seoul-on-march-26-2026-16corhigher highest-temperature-in-seoul-on-march-26-2026 ,,live_top80_sample
20,russell110320,0x118689b24aead1d6e9507b8068d056b2ec4f051b,47324.31,0,,weather specialist / weather-heavy,7,0,141,0,148,,https://polymarket.com/profile/0x118689b24aead1d6e9507b8068d056b2ec4f051b,Will April 2026 be the 4th or lower hottest on record? will-april-2026-be-the-4th-or-lower-hottest-on-record 2026-april-1st-2nd-3rd-hottest-on-record  | Will global temperature increase by between 1.15ºC and 1.19ºC in April 2026? will-global-temperature-increase-by-between-1pt15c-and-1pt19c-in-april-2026 april-2026-temperature-incr | Will global temperature increase by less than 1.10ºC in April 2026? will-global-temperature-increase-by-less-than-1pt10c-in-april-2026 april-2026-temperature-increase-c  | Will global temperature increase by between 1.25ºC and 1.29ºC in April 2026? will-global-temperature-increase-by-between-1pt25c-and-1pt29c-in-april-2026 april-2026-temperature-incr | Will global temperature increase by more than 1.29ºC in April 2026? will-global-temperature-increase-by-more-than-1pt29c-in-april-2026 april-2026-temperature-increase-c  | Will global temperature increase by between 1.20ºC and 1.24ºC in April 2026? will-global-temperature-increase-by-between-1pt20c-and-1pt24c-in-april-2026 april-2026-temperature-incr | Will global temperature increase by between 1.10ºC and 1.14ºC in April 2026? will-global-temperature-increase-by-between-1pt10c-and-1pt14c-in-april-2026 april-2026-temperature-incr | Will global temperature increase by between 1.10ºC and 1.14ºC in April 2026? will-global-temperature-increase-by-between-1pt10c-and-1pt14c-in-april-2026 april-2026-temperature-incr,,live_top80_sample
21,HenryTheAtmoPhD,0x57ee70867b4e387de9de34fd62bc685aa02a8112,45563.27,0,,weather specialist / weather-heavy,29,0,185,0,214,,https://polymarket.com/profile/0x57ee70867b4e387de9de34fd62bc685aa02a8112,Will the highest temperature in Hong Kong be 23°C on April 24? highest-temperature-in-hong-kong-on-april-24-2026-23c highest-temperature-in-hong-kong-on-april-24-2026  | Will the highest temperature in Seoul be 19°C on April 25? highest-temperature-in-seoul-on-april-25-2026-19c highest-temperature-in-seoul-on-april-25-2026  | Will the highest temperature in Hong Kong be 27°C on April 25? highest-temperature-in-hong-kong-on-april-25-2026-27c highest-temperature-in-hong-kong-on-april-25-2026  | Will the highest temperature in Seoul be 12°C on April 25? highest-temperature-in-seoul-on-april-25-2026-12c highest-temperature-in-seoul-on-april-25-2026  | Will the highest temperature in Seoul be 18°C on April 25? highest-temperature-in-seoul-on-april-25-2026-18c highest-temperature-in-seoul-on-april-25-2026  | Will the highest temperature in Seoul be 11°C or below on April 25? highest-temperature-in-seoul-on-april-25-2026-11corbelow highest-temperature-in-seoul-on-april-25-2026  | Will the highest temperature in Seoul be 15°C on April 25? highest-temperature-in-seoul-on-april-25-2026-15c highest-temperature-in-seoul-on-april-25-2026  | Will the highest temperature in Seoul be 13°C on April 25? highest-temperature-in-seoul-on-april-25-2026-13c highest-temperature-in-seoul-on-april-25-2026 ,,live_top80_sample
22,JoeTheMeteorologist,0x1838cca016850ac7185a9b149fe7d0bd2d6629b4,44964.15,0,,weather specialist / weather-heavy,31,0,165,0,196,,https://polymarket.com/profile/0x1838cca016850ac7185a9b149fe7d0bd2d6629b4,Will the highest temperature in Seoul be 19°C on April 25? highest-temperature-in-seoul-on-april-25-2026-19c highest-temperature-in-seoul-on-april-25-2026  | Will the highest temperature in Shenzhen be 19°C on April 24? highest-temperature-in-shenzhen-on-april-24-2026-19c highest-temperature-in-shenzhen-on-april-24-2026  | Will the highest temperature in Hong Kong be 24°C on April 24? highest-temperature-in-hong-kong-on-april-24-2026-24c highest-temperature-in-hong-kong-on-april-24-2026  | Will the highest temperature in Seoul be 12°C on April 25? highest-temperature-in-seoul-on-april-25-2026-12c highest-temperature-in-seoul-on-april-25-2026  | Will the highest temperature in Seoul be 18°C on April 25? highest-temperature-in-seoul-on-april-25-2026-18c highest-temperature-in-seoul-on-april-25-2026  | Will the highest temperature in Seoul be 11°C or below on April 25? highest-temperature-in-seoul-on-april-25-2026-11corbelow highest-temperature-in-seoul-on-april-25-2026  | Will the highest temperature in Seoul be 15°C on April 25? highest-temperature-in-seoul-on-april-25-2026-15c highest-temperature-in-seoul-on-april-25-2026  | Will the highest temperature in Seoul be 13°C on April 25? highest-temperature-in-seoul-on-april-25-2026-13c highest-temperature-in-seoul-on-april-25-2026 ,,live_top80_sample
23,aboss,0xaaec89fcb2ff14b335ddd738edf355ac07038dc8,38787.58,0,,weather specialist / weather-heavy,11,0,166,0,177,,https://polymarket.com/profile/0xaaec89fcb2ff14b335ddd738edf355ac07038dc8,Will the highest temperature in London be between 64-65°F on June 5? will-the-highest-temperature-in-london-be-between-64-65f-on-june-5 highest-temperature-in-london-on-june-5  | Will the highest temperature in London between 43-44°F on February 1? will-the-highest-temperature-in-london-between-43-44f-on-february-1 highest-temperature-in-london-on-february- | Will the highest temperature in London be between 44-45°F on January 30? will-the-highest-temperature-in-london-be-between-44-45f-on-january-30 highest-temperature-in-london-on-jan | Will the highest temperature in London between 45-46°F on February 1? will-the-highest-temperature-in-london-between-45-46f-on-february-1 highest-temperature-in-london-on-february- | Will the highest temperature in London be 68°F or below on July 26? will-the-highest-temperature-in-london-be-68f-or-below-on-july-26 highest-temperature-in-london-on-july-26  | Will the December 2024 temperature increase be between 1.30-1.34°C? will-the-december-2024-temperature-increase-be-between-1pt30-1pt34c december-2024-temperature-increase-c  | Will the December 2024 temperature increase be between 1.20-1.24°C? will-the-december-2024-temperature-increase-be-between-1pt20-1pt24c december-2024-temperature-increase-c  | Will the highest temperature in London be 71°F or higher on May 23? will-the-highest-temperature-in-london-be-71f-or-higher-on-may-23 highest-temperature-in-london-on-may-23 ,,live_top80_sample
25,ANudeEgg,0x62d2bcd198bb6eab8b7eeb9d2061815dc02b9eb7,36270.19,0,,weather specialist / weather-heavy,0,0,29,0,29,,https://polymarket.com/profile/0x62d2bcd198bb6eab8b7eeb9d2061815dc02b9eb7,Trump ends Ukraine war in first 90 days? trump-wins-ends-ukraine-war-in-90-days trump-wins-ends-ukraine-war-in-90-days  | Trump ends Ukraine war in first 90 days? trump-wins-ends-ukraine-war-in-90-days trump-wins-ends-ukraine-war-in-90-days  | Trump ends Ukraine war in first 90 days? trump-wins-ends-ukraine-war-in-90-days trump-wins-ends-ukraine-war-in-90-days  | Trump ends Ukraine war in first 90 days? trump-wins-ends-ukraine-war-in-90-days trump-wins-ends-ukraine-war-in-90-days  | Trump ends Ukraine war in first 90 days? trump-wins-ends-ukraine-war-in-90-days trump-wins-ends-ukraine-war-in-90-days  | Trump ends Ukraine war in first 90 days? trump-wins-ends-ukraine-war-in-90-days trump-wins-ends-ukraine-war-in-90-days  | Trump ends Ukraine war before inauguration? trump-ends-ukraine-war-before-inauguration trump-ends-ukraine-war-before-inauguration  | Trump ends Ukraine war before inauguration? trump-ends-ukraine-war-before-inauguration trump-ends-ukraine-war-before-inauguration ,,live_top80_sample
26,Shoemaker34,0x8093017f08d8492927eb3b43c8b87aeffe38b208,33959.87,0,,weather specialist / weather-heavy,18,0,100,0,118,,https://polymarket.com/profile/0x8093017f08d8492927eb3b43c8b87aeffe38b208,"Will the highest temperature in Seoul be 7°C on March 8? highest-temperature-in-seoul-on-march-8-2026-7c highest-temperature-in-seoul-on-march-8-2026  | Will the highest temperature in Seoul be 7°C or higher on March 6? highest-temperature-in-seoul-on-march-6-2026-7corhigher highest-temperature-in-seoul-on-march-6-2026  | Will the highest temperature in Wellington be 18°C on March 9? highest-temperature-in-wellington-on-march-9-2026-18c highest-temperature-in-wellington-on-march-9-2026  | Will the highest temperature in Ankara be 8°C on March 7? highest-temperature-in-ankara-on-march-7-2026-8c highest-temperature-in-ankara-on-march-7-2026  | Will the highest temperature in Dallas be between 72-73°F on March 4? highest-temperature-in-dallas-on-march-4-2026-72-73f highest-temperature-in-dallas-on-march-4-2026  | Will the highest temperature in London be 17°C on March 2? highest-temperature-in-london-on-march-2-2026-17c highest-temperature-in-london-on-march-2-2026  | Will the highest temperature in London be 17°C on March 3? highest-temperature-in-london-on-march-3-2026-17c highest-temperature-in-london-on-march-3-2026  | Will the price of Ethereum be above $2,000 on March 1? ethereum-above-2000-on-march-1 ethereum-above-on-march-1 ",,live_top80_sample
27,1-800-LIQUIDITY,0x584eee598b341109592b985c1a253ab044fa090f,33506.37,0,,weather specialist / weather-heavy,0,0,69,0,69,,https://polymarket.com/profile/0x584eee598b341109592b985c1a253ab044fa090f,Will the highest temperature in Seoul be 11°C on April 10? highest-temperature-in-seoul-on-april-10-2026-11c highest-temperature-in-seoul-on-april-10-2026  | Will the highest temperature in Seoul be 17°C or higher on April 10? highest-temperature-in-seoul-on-april-10-2026-17corhigher highest-temperature-in-seoul-on-april-10-2026  | Will the highest temperature in Seoul be 15°C on April 10? highest-temperature-in-seoul-on-april-10-2026-15c highest-temperature-in-seoul-on-april-10-2026  | Will the highest temperature in Seoul be 16°C on April 10? highest-temperature-in-seoul-on-april-10-2026-16c highest-temperature-in-seoul-on-april-10-2026  | Will the highest temperature in Seoul be 10°C on April 10? highest-temperature-in-seoul-on-april-10-2026-10c highest-temperature-in-seoul-on-april-10-2026  | Will the highest temperature in Seoul be 10°C on April 10? highest-temperature-in-seoul-on-april-10-2026-10c highest-temperature-in-seoul-on-april-10-2026  | Will the highest temperature in Seoul be 10°C on April 10? highest-temperature-in-seoul-on-april-10-2026-10c highest-temperature-in-seoul-on-april-10-2026  | Will the highest temperature in Seoul be 10°C on April 10? highest-temperature-in-seoul-on-april-10-2026-10c highest-temperature-in-seoul-on-april-10-2026 ,,live_top80_sample
